nIndex,Title,Category,State,Love,Series,SeriesN,Warrant,Link,Introduction,aIndex,pIndex
706,你是我的星辰萬里,愛情,完結,0,0,0,,https://mojoin.com/novels/2548,"被渣男賤女害死後，陳曼曼重生到了周星遙身上。
原本以為自己已經夠可憐了，卻沒想到周星遙更慘。
爹不疼娘不愛，妹妹還要欺負她，甚至連她的室友都與她為敵。
重生一次，她很忙。
既要手撕渣男賤女，又要與人鬥智斗勇，還要在事業上走向人生巔峰。
「親愛的，抽空談個戀愛唄！」薄少巴巴地看著忙成陀螺的她。
「不談！」她拒絕。
「親愛的，來坐過來聊聊天！」薄少不死心地說。
「沒空！」她仍舊拒絕。
「你確定？」
「我確……唔……」
這個臭男人！真煩人！
重來一世，好像談段戀愛也不錯？",155,4
707,你是意料之外,愛情,完結,0,0,0,,https://mojoin.com/novels/2547,"安文從沒有想過，她曾經夢想中的生活突然破滅，老公背叛，孩子父親未知，淨身出戶……
所有不敢想的事情全部發生，在絕望和痛苦的邊緣間，席堯的出現，讓她的世界裡有了一絲的亮光。
幫她嚴懲欺負她的人，站在眾人所仰望的高處，給她一切……
安文以為，席堯便是她一生的歸宿
直到那個自稱是席堯妻子的人出現，安文才覺得荒謬至極。
原來到最後，她才是那個被戲弄的人。
……
當她將心事藏於心底要嫁作他人之時，席堯再一次的出現打亂了她的生活。
「安文，你這輩子只能是我的女人！」
「席先生，你已婚我已婚，我沒有要養情夫的打算！」
席堯將離婚證摔在她面前，「別忘了，你還欠我一個承諾，嫁給我。」",236,4
708,不正常的戀愛關係(02)第一次三人行就達陣,愛情,完結,60,10,2,,https://mojoin.com/novels/2461,"雙女友劇情，一個暴力一個羞怯，
一次初體驗，兩種感受！

女友隨便抓就有，但是通通以失戀做結。
這種劇情，秋本光表示再也不願意繼續下去！
但……人為刀俎，我為魚肉，作為神明的使（奴）者（隸）
今天也要精神百倍的捕捉女友喔！
只是這一次怎麼一竿雙魚，雙胞胎什麼的真的好……刺激啊！

千禾：「死變態，我絕對不會讓你對姊姊做什麼！除、除非，我也一起！」
千律：「其實如果是妹妹喜歡的人，我也可以喔！」
秋本光：「……有人要問我的意見嗎？」",371,5
709,不正常的戀愛關係(01)第一次調教奴隸就上手,愛情,完結,625,10,1,,https://mojoin.com/novels/2460,"飯可以亂吃，願望不可以亂許。
這是平凡轉學生秋本光想對大家說的血淚教訓。
只是參拜了不知名神社，就莫名成了神明的使（奴）者（隸）。
而且神明給的任務，竟是要他與各種奇怪的惡念談戀愛？！
面對乳量驚人的惡念姐姐，秋本光覺得自己的貞操即將不保！
……現在買貞操帶還來得及嗎？",371,5
710,吃貨相公財神妻,愛情,完結,2,0,0,,https://mojoin.com/novels/2533,"【穿越】【美食】【種田】【經商】【高甜】

秀才遇上女霸總，有理說不清！
陸玥萬萬沒想到自己這一堂堂上市公司CEO，居然有朝一日會穿越，並且還淪落到靠生兒子來爭家產的地步？
不行，絕對不行。
不給她家產！她就自己掙！什麼？她爹給她抓了個解元相公？這滿嘴之乎者也的還是休了罷了！誒，等等，好像可以做個名人效應！

「柳三思牌解元雞，不是狀元就探花！」
但是怎麼越看越覺得這小相公長的還挺帥，不如改造改造……

本來被榜下捉婿就夠悲慘了，柳三思沒想到自己在新婚之夜居然還被娘子踢出了閨房，一時間成為了整個學子圈的笑話……
還沒來得及重振夫綱，就發現用自己名義命名的解元雞居然賣的火爆？

「你拿我攬生意，簡直有辱斯文。」",491,4
711,江山為聘：重生貴妃不好當,愛情,完結,0,0,0,,https://mojoin.com/novels/2532,"上一世，宋清淺作為名門閨秀，權臣嫡女，風風光光活了二十載，是皇帝身邊最『寵信』的貴妃。
她以為自己注定了一生順遂，千金萬貴。
直到大火燒紅了建安的半邊天，宋氏一族盡數落獄，她才知道，她爹是謀逆之人。
一朝雲端墜落被囚，唯恐受盡屈辱的宋清淺選擇了自盡。
再次睜眼，竟重生回入宮前夕。
她知道眼前這個疼愛自己的爹，終有一天會拿起屠刀，慘敗於皇城之下。
她也知道和氣笑著的帝王，早已洞察了宋氏的逆謀造反之心。
所以她必須趕在悲劇發生之前，拯救自己和家族的小命。
————
盛瑾瑜不明白，自己作天作地的貴妃為什麼突然狗腿了起來。
宋清淺：怎麼抱皇帝大腿顯得本宮下跪的姿勢比較有尊嚴些？宮裡等，十萬火急！",467,4
712,總裁，請不務正業！,愛情,完結,599,0,0,,https://mojoin.com/novels/2307,"一場車禍，讓余雙的好友陷入了昏迷，
而余雙萬萬沒有想到，讀了好友未完成的小說後，
她就這麼穿進了故事裡，變成霸道總裁陸云初的未婚妻！
只是她這個未婚妻有名無實，設定上他們是假裝成戀人，
因為陸云初早就心有所屬，可對方卻是他兄弟的女友──這什麼貴圈真亂的節奏！？

本來余雙覺得也罷了，對她這個實際上只有十八歲的少女而言，
陸云初就只是個保養比較好的帥叔叔，他倆不會有什麼未來。
雖然外冷內熱、細心體貼的他正好是她的菜，
雖然她發現自己面對陸云初時，好像越來越無法控制心跳……",305,8
713,尋找幸福要在穿越後,愛情,完結,151,0,0,,https://mojoin.com/novels/310,"這是一個沒有魔王與勇者，沒有龍傲天，沒有魔法學園，沒有要拯救世界，沒有要成為世界最強。只有一群青春少年少女們，在異世界尋找幸福的故事——
喜歡粉紅色，人際關係熟練度0的少年——邱爾穿越到異世界「萬象」隨即陷入瀕死，死前發現失蹤阿嬤的線索。
為了找到失蹤的阿嬤，完成與阿嬤的約定——與人組成溫暖的家。
邱爾答應魔鬼夫妻「救出女兒」的條件，免於一死的他闖入凶險監獄，邂逅了外表端莊，喜歡藍色，性情粗魯野蠻的少女——夏蘭．特利悉那。
不料相遇的兩人，在他人作弄下，一腳踏入彼此黑暗的過去。
「我要粉紅色……我不要寫考卷……」
「承諾嗎……那明明……那明明是最不值得相信的東西。」
成績至上、性別刻板印象、處女情節、凌虐他人為樂的幸福，種種枷鎖把兩人纏得喘不過氣。
「不管發生什麼事，我都要找到阿嬤，與人組成溫暖的家！」
在這個殘酷又溫柔的世界，邱爾能找到阿嬤，與人組成溫暖的家嗎？他和夏蘭真的能幸福嗎？",369,6
714,仵作小娘子,愛情,完結,0,0,0,,https://mojoin.com/novels/2499,"「一拜天……」
「拜什麼拜？她是本王的！」
傲嬌王爺來搶親，某位始作俑者卻後知後覺。

「王爺是來觀禮的？隨了份子錢沒？」
「本王把自己隨給你！」
「這禮太重，民女收不起。」
某王爺笑了一聲，「把你賠給本王就夠了！」",470,4
715,本王的專寵愛妃,愛情,完結,0,0,0,,https://mojoin.com/novels/2498,"前前世，神武大陸神秘門派少主；
前世，21世紀殺手；
這一世，我主沉浮。

她不想舉世無雙，只想肆無忌憚的活著。",273,4
