書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
醫網情森，跋扈總裁溫柔心,程小樹,愛情,完結,7,吾里文化,BG愛情,,,,,https://mojoin.com/novels/911,"寒城上流圈子裡有一個公開的秘密，——鼎鼎大名的池氏集團掌舵人池禹森嗜好異禀，不僅喜歡「吃獨食」，而且還男女通殺。
更為奇葩的是，他對女人從來都是只玩不親。

因為潔癖？還是玩純情？反正沒有答案。

可是，要怎麼解釋他把她從泳池裡撈出來之後於眾目睽睽之下狼吻一通呢？
他甚至還當著未婚妻的面把她給吻暈了……，對，吻、暈、了！
前一秒把人罵得狗血淋頭，後一秒摟懷裡一頓熱吻，這是基因突變引發了狼性還是他本來就精神有病？
她可沒心情作研究，父親生前的夙願和壓在她心頭多年的仇恨是她活下去的動力，早點離開他才能好好去做那兩件事。"
情深噬骨,寧鳶,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/897,"「跟我結婚，一年為期。」容曦作為首富千金，成功逼婚商場新貴莫辰擎。
男人徐徐吐出煙圈，眸意深深，「容曦，你會後悔。」
璃城口口相傳，他們是門當戶對，無愛聯姻。
莫先生卻在婚後對她寵溺繾綣，「曦兒……」
容曦揚起下巴，理所應當，「叫我也沒用，你今晚睡地板。」
男人都點頭答應，可半夜又偷偷爬上她的床。
坊間傳聞，莫先生與莫太太感情甚好，如膠似漆。
彼時，莫先生卻一個人喃喃自嘲，「你是打算拋夫棄子嗎？」"
緣深緣淺，若如初見,橘子可妃,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/616,"結婚時，她和他立法三章——
不許管她不准碰。
卻不想，婚後的一個晚上，她喝醉酒……
從此後，生活發生了翻天覆地的變化。
……
「投懷送抱？」"
今夜情未眠,貓十七,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/527,"在連城，人人都知道林初予是宋家送給紀慕川的禮物。
可他們不知道，終有一日，這個被人貶的一文不值的禮物，竟也成了紀慕川心中不可觸碰的禁地。
凡覬覦者，下場死！
————******————
18歲以前，林初予是宋家當成商品而培養的養女。
18歲生日時，林初予被宋家打包送到了紀家，從此瞎眼的紀慕川身後多了一條會說話狗。
23歲那年，林初予為愛而逃，卻被紀家打得半死不活架了回去。
從此林初予明白一個道理，這輩子她的生命裡只能有紀慕川這一個男人。"
棄女重生：琉璃世子妃,筱筱,愛情,完結,9,吾里文化,BG愛情,,,,,https://mojoin.com/novels/389,"前生，她身為細作，卻愛上了敵人首領助他成皇，最終，他黃袍加身，她卻被拔掉指甲，剜掉膝蓋骨，連同剛出世一月的幼子被活活燒死……
重生歸來，她化身蛇蠍，步步小心，曲意逢迎，只為終有一天將那些曾經將她做棋子的人捏在手中……
她掌括囂張跋扈的大姐姐，撕掉外表柔弱的二姐姐的面具，再將她狠狠踩在腳下，鬧翻了陌府，然後順便將兩位王爺踢下馬……"
一遇唐琰誤終身,蒼山月,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/333,"渣男令她負債累累，更是步步緊逼，她滿心怨恨，盯上了小三的哥哥，那個豪門公子哥。
她刻意接近，以為可以掌控他，可一接觸才發現，他是最危險的男人。
他高傲冷然，腹黑涼薄，他說，「盛滄月，別在我的身上打主意。」
可在她走投無路、狼狽不堪的時候，他還是幫了她。
從她遇見唐琰的那一刻開始，便注定要被拉進豪門的刀光劍影裡，無數不懷好意的目光盯著他們。
她知道彼此只是互相利用，她見慣了他的無情，卻還是忍不住動了情。
他一路帶著她，讓她看遍這世界上最醜陋的黑暗以及最殘酷的人性，在她震驚的同時卻也變得更加堅強。終於有一天，他說，「滄月，自己保護好自己！」
「那你呢？」
「我可能沒有辦法保護你了。」"
那些年，有誰讓你不寂寞,路星,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/317,"十歲，陸家私生子陸霆封認祖歸宗，在陸家老宅第一次見到夏家千金夏嫣然。
十五歲，他為她擋了一顆子彈，正中心口，命懸一線，她握著他的手哭得撕心裂肺。
十九歲，她說喜歡強大到可以把自己寵上天的男人，後來他成為了這樣的男人。
二十一歲，她一無所有，恨他入骨。
二十三歲，她笑顏如花，挽著他的胳膊甜膩膩的喚他：「二哥。」
二十六歲，她一刀刺進他心臟，和當年那顆子彈的位置重疊。
她滿臉恨意，聲線冰冷：「陸霆封，你去死吧。」
他握住刀刃，輕描淡寫：「你當真是一頭餵不熟的狼。」
只是夏嫣然，從此世間沒有他陸霆封，你該有多寂寞。"
南風吹過黎明時,路星,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/265,"結婚兩月，丈夫帶著青梅竹馬的三兒登堂入室。
她委曲求全直到那女人懷著身孕在她面前耀武揚威，所有的隱忍終是換來一句：「我們離婚吧。」
沒了婚姻，一心撲到事業上，竟不小心名揚四海。
原本孤身一人，愛情的桃花卻悄然綻放。
「姜黎黎，我罩的。」男人張狂宣誓：「我喬南木的女人，你們誰敢動，我會讓你們明白什麼叫生不如死、悔恨終生！」

於是，鬥白蓮花，打綠茶婊！
他助她名揚四海光華萬丈；她陪他看遍良辰美景花開花落。
他幫她拭去眼角淚水，瀲灩的眸中閃動著霸道的寵溺之色，朝著她勾了勾手指：「女人，過來我寵你。」"
醫妃沖天，皇叔別來無恙,墨玲瓏,愛情,完結,1,吾里文化,BG愛情,,,,,https://mojoin.com/novels/251,"世人都知道方丞相長女方雪瑤愛戀太子端木澤，八年中她散盡金銀為了保他登上皇位。
他卻把她送去做軍妓，她才知自己只不過是他登上皇位的棋子而已。

她看清了一切，拉響了綁在身上的轟天雷，只想和他同歸於盡。
幸虧老天垂憐讓她重生十三歲，她還是那個方家跋扈的長女，還有那個她害死的皇叔依然活著。

這一世她不在被人利用，雙眸冷冽，她要復仇，為了自己可憐的母親還有病弱的弟弟，她帶著她們離開方家。
她早已看破紅塵只想瀟灑活一生，可是那個皇叔怎麼就對她霸道糾纏不休。
她怕死了他的纏，嫁給了當朝東廠太監都督，當蓋頭掀開的那一刻，她才知道皇……"
吾情似海，深不見底,劉淡淡。,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/242,"【所有的恨，最後好像都化成了愛】
盛廷宴此生最恨的就是愛上了仇人的女兒。
週莞莞此生最恨的就是自己不在恨盛廷宴。

他折磨她，卻在這過程中丟了心
她恨他，千方百計的想逃他而去

他追來，而她身邊已有良人
於是，他不甘心，舊計重施
她譏諷他：……"
教主，你被拐了,若水亭,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1062,"紅衣黑袍的棲公子艷絕天下，卻在家門口拐走了自家教主？
這是何等匪夷所思的事情！
好在被「綁架」的記冷沒點被綁的意識？
屁顛屁顛的跟著、闖著、打著、鬧著……
於是這江湖上又多了個白衣灰袍的「小暖兒」！
「媳婦！告訴他們我是誰？」
抖抖眼皮子，記冷甚是淡定的來一句：「寒棲是我們記寒教的教主，永遠都是！」
棲公子卻是摟著記冷當著天下英雄的面一計長吻結束：「這是我媳婦！生生世世都是！」"
二婚嬌妻，總裁要革命,淺夕顏,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/1048,"她不就因為應酬喝多了幾杯，卻碰到闊別半載的前夫，一場陰謀，陌生房間裡，陌生的男人讓她身心俱疲。
明明是她被誣陷紅杏出牆，卻又莫名成了別人的小三，在萬眾矚目下結束了有名無實的婚姻狼狽離開。
拐角處，那危險男人盯著她說：既然不想做小三，做我老婆好不好？

"
寧負天下不負卿,花落餘生,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/886,"重生一世，她暗自發誓絕不重蹈覆轍。勢要負她之人，付出代價。
重生一世，她拋棄了原本的溫和單純，她丟棄了三從四德，她再不是哪個人善被欺的大姑娘！
人不犯我我不犯人，人若犯我我必還之。
她今生只想守護好自己至親之人，了卻餘生。
卻不曾想，一個意外，致使兩人命運緊緊相纏。

「柳卿，寧負天下不負我，你可能做到？」
「娘子，寧負天下不負卿！」"
傾城女相,欣木,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/883,"亂世之中風雲湧動，朝堂之中陰謀不斷，沙場之上腥風血雨，人人都想成為這亂世雄主，人人都想統一天下，坐擁這錦繡河山！
她為自己逝去的愛人守護臨江。
他為天下能早日安定協助郢國。
她倔強從不服輸，他內斂不願表達，葉清綰曾質問她，是否認清過自己的真心？
她內疚自責，強迫告訴自己，大師兄是兄，她愛的就是彭初辭，腦海裡又浮現出少年滿含憤恨的言語：「這是亂倫，為天下所不容！」
這亂世能否有情？這蒼天可否仁慈一次？"
浮生傾盡一世歡,阿悅最帥,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/882,"初初。
她是戰戰兢兢，朝不保夕的官家小姐。
他是肆意妄為，陰晴不定的天之驕子。

她跟他，是謫仙與鬼魅的對立，是奴隸與君王的臣服。
本不是一個世界的人，他卻硬要來招惹她，她自然是見招拆招，偏不避其鋒芒。
兩兩對峙間，不知是誰先遺了心，失了情。

於是，他眸光寵溺：「那日桃林一見鍾情，後來大殿再見傾心。」
她冰冷的語氣中滿是譏諷與嗤笑：「一見鍾情，還是見色起意。」
她避之不及，倉皇逃竄，他寸步不讓，步步緊逼。
後來，她遭人設計，一夜迷離。"
豪門秘寵，陸先生深情難辜負,風落涼,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/871,"陸諾桐十八歲那天，陸靖安闖進她的房間，以最強硬的姿態質問她：
「你有什麼資格嫁入紀家，在我眼前幸福？」

陸靖安想告訴陸諾桐，她的幸福，除了他，任何人都沒有資格給。
可是他們的愛情，終究上不得檯面……"
奈何君心亂,若有魚,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/866,"她以天下為局，江山為註，下了一盤棋，本以為自己是執子之人，卻不料成了局中棋子。
她堅信活下去就有希望，所以她披荊斬棘，無所畏懼。
他曾以為只要心懷仁厚，便可兼濟天下，最後卻被至親所累，從雲端跌入泥濘。
捲土重來，他劍沖九霄，睥睨曾經的故人，笑容絕代。
「棄我去者，昨日之日不可留。」

世人皆道，她是丞相貴女，未來的太子妃，滔天富貴、累世榮華皆可預見，卻偏偏不知廉恥，逃婚抗旨，自奔為眷。
太子蘇易點頭贊同，陳氏阿蓉詭詰奸詐，最是善於利用別人的真心，進而棄若……"
一念念此生,東籬黃昏,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/856,"陸驍討厭唐婉心路人皆知，在他眼裡，唐婉心出軌他人、氣死母親、傷害他心頭的白月光，可恨至極！

所以他散了她的家業、毀了她的希望、覆滅了她所有的深情。
終於，她醒悟了。
百無一用是深情，更何況是錯付的深情。
從此她左有云城第一大家族秦氏的保駕護航，右有第一影帝裴燦殷勤獻花，事業一路開掛。
可此時，陸驍卻坐不住了。
他說，他有一個深藏的秘密……"
蜜愛百分百：賀少，求你別寵我,桃桃紅柚,愛情,完結,10,吾里文化,BG愛情,,,,,https://mojoin.com/novels/855,"相戀多年的男友，一邊拿著她辛苦錢揮霍，一邊和別的女人卿卿我我。
當蘇晴從出租屋裡出來，心已經徹底死去。
她傷心欲絕，走在大街上，卻惹上惡魔少爺。

婚前。
流量小生賀昭和三無女蘇晴傳緋聞。
賀男神千里探班，被三無女拒之門外。

婚後。
賀昭和其他女星傳緋聞，假戲真做。
小助理八卦道：「晴姐，昭哥和別人組你真的不在乎？」
冷漠無情的蘇小晴說：「我們形婚，莫得感情的。」"
情劫,長夜,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/851,"被繼母算計，靜歌眼上了景城最有名男人傅言深。
傳聞這個男人，生性嗜殘，不近女色。
但是在靜歌眼裡，他就是個不要臉的男人。
第一次見面，這個男人就將她壓在欄杆上，手指輕輕地摩挲著她的唇，問道：「小野貓，成年了嗎？」
為了明哲保身，她選擇撒謊。
於是在第二天就被逮個正著。

「昨天欠了，今天一併補上。」"
誰都不是你,玲瓏格,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/849,"凌禕城慢條斯理解著襯衫的鈕扣：「今晚，我允許你提一個問題。」
歐瓷想了想：「如果我不是第一次，你會不會在意？」
凌禕城挑了眉梢：「我以為你會問一夜能有幾次。」
歐瓷：「……」"
一品毒妃,浣曦,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/847,"王爺虐我千百遍，我帶王爺如初戀！

「王妃今日想鬧哪出？」
某王爺坐在床邊，滿臉寫著生人勿進，違者斬殺！

「找你切磋切磋，交流技術。」
唐且歌一本正經，躍躍欲試，滿臉期待！"
女人不過三十,星雲,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/837,"30剛出頭的蘇悅，雖然生活一地雞毛，可她毫無怨言的接受著。
若不是老公出軌，被迫離婚，她想一直自欺欺人過下去。
從一地雞毛的婚姻圍牆中走出，站在人生的十字路口，她徬徨、無助、沮喪、失落、絕望，一度陷入悲憫之中。
而林峰的出現，林峰的溫暖，林峰的呵護，讓她重燃愛的渴望。
當她鼓起勇氣準備接受林峰的愛時，鋪天蓋地的負面新聞圍攻林峰的人品和作風問題，看著紀委帶走林峰，蘇悅慌亂了，一向懦弱的她，應該怎麼辦？
怎麼救這個曾經把她拉出火坑的男人？"
楠得情深,夜天,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/833,"整個荊市，除了莫家人，沒有任何人知道莫凜楠的心中有個心頭寶。
而她，古靈精怪的出現在宴會場上，不僅想方設法的想要去勾搭他，還給他留下了極其深刻的印象。
她陷害他不成，反而特別高調的對他說：「莫凜楠，我喜歡你，既然我把我的初吻都獻給你，你就得當我的男人！」
莫凜楠目光深沉的看著她：「看你有沒有那個本事了！」"
步步驚情，總裁夫人又鬧了,洛千華,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/831,"「安安啊，不是姑姑乘人之危，雖然你是你姐姐遺囑的繼承人，但你年紀這麼小，這顧氏交給你，怕是會斷了老祖宗留下的基業。」
這是姐姐留給她的顧氏，她一定要守護！"
我醉了，你隨意！,玲瓏格,愛情,完結,12,吾里文化,BG愛情,,,,,https://mojoin.com/novels/828,"蘭城，人人都想攀上傅少辰這尊神。
但，雲璟不想。
可事實上。
她卻被人強行冠上傅太太的名諱。
雲璟怒了"
一城煙雨,斜月簾櫳,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/806,"夜。

房間門砰的一聲被撞開！
秦嵐煙悚然看向門口！

原以為自己已經百毒不侵，但是在看清門口的人時，秦嵐煙一顆心還是被撕裂得血肉模糊！
男人醉醺醺往裡走，腳步不穩，秦嵐煙幾步上去，用手扶住了他。
「城珏，你又喝酒了？」"
雲端的格桑花,張氏雅歌,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/801,"「我從始至終最在意的便是你。」
三軍帳前，他權謀盈盈在握。

恍然如隔世……
一朵格桑花，一段迷迭香。
你曾說過今生今世，休想從我身邊逃走。"
謀妃拒再嫁,枕月,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/800,"她穿越了，亂世中成了一個亡國公主，前有陰謀，後有追兵，為了安身立命化身細作，披紅妝，千里和親。
「我利用你是真的，可我愛你也是真的。」他站在大殿之上，俯視著她。
她冷笑，輕抬眉眼「你若問我心中所想，只願將你挫骨揚灰。」
大婚之夜，他用力的掐住她的脖頸「可知本王為何娶你？」
她嗤笑「你娶，為一座城池，我嫁，為你半壁江山。」
和親不但沒有改變命格，相反讓她捲入一場后宮爭鬥。
一日他大醉，將她狠狠緊固在懷中「夙兒，你怎知本王的心，你不知，寧願我害你，好過讓別人來害你。」他呼出來的氣暖著她冰涼的肩。
「陛下，夜已深，該回王后寢宮了。」她冷言，將他推離，卻不曾抬頭看他"
餘情未暖,青鏡梔子,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/799,"她是他哥哥的未婚妻，卻被迫成為他的女人。
「暖暖，那個孩子是你們的私生子嗎？」他問她。
他疼她寵她保護她，寵得無法無天。
白暖知道，沈耀白的心情只分開心和不開心，而不管他開心不開心，都喜歡找她。
終於有一天，她難以承受一切選擇逃跑，他斷掉她所有的退路。"
一地相思無盡處,景慕輕塵,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/794,"漠漠輕寒上小樓，淡煙流水畫屏幽。一城朱白飛散去，笛音淚祭血魂塚。
許多年之後，靈幽的眸底，最後凝凍的便是與那少年墨發纏飛的妖嬈而悲傷的，這鋪天蓋地的朱白，如雲似霧，風飄而散。

四年之後，她從遙遠的玉冥雪山奔赴而來，帶著前世今生的滅魂之咒，誓言洗盡地底之下，千萬森然白骨生前恥辱。
她帶著一身殘破，困於幽暗，寄賣了自己的靈魂，才終於得以再一次站在他面前，甜甜喊他一聲「輕寒哥哥……」

一花一蝶，滅盡惡人邪魔。
七血三淚，救贖癡人怨靈。
這一場殺劫，血淚浸染，潮濕了誰的宿命？"
芥命,梨花微雕,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/775,"曾有一狸貓，狸貓十二尾，一尾是一命，命喪斷一尾，取命補一尾。
狸貓通靈，可穿梭陰陽，也可觀測前世，完成每任主人轉世之願，取其魂補己尾。
今日有一僧，戒嗔戒怒難戒色，傷妖傷心又傷魂，曾金珠封妖，現為妖入塵。
佛前懺悔，金針刺魂，世世獨白首。"
夫人，倫家是你的小棉襖,披袖,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/770,"懷著經商夢，一朝醒來，竟穿越成唐家庶女；
父親不喜，後母刁難，祖母冷淡，名門宅院鬥爭多；
接她回府，原來是為了讓她代替嫡姐，嫁給病怏世子；
在這異界，且看她如何鬥姨娘、打小三；
白手起家，帶著隨身空間，踏上奮鬥之路。"
久念不忘，終有迴響,鹿何往,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/750,"十年前的他，彎下腰摸著她小小的腦袋溫柔的笑著說：小傻瓜，不許哭，我陪你玩。
十年後的他，肅冷倨傲，對著身下泣下沾襟的她蠱惑般地說：不要叫我哥！

他可以成為不擇手段的黑幫少主，可以成為生意場上一手遮天的王權富貴，可以眼手通天的玩弄手段，可以毫不猶豫的取人性命於不顧。
而對她，卻軟了心。

八歲的她天真爛漫，對著緩緩上升的孔明燈許願：願不要分離。
十八歲的她眼波流轉，柔弱無骨的手抵住他的喉：哥，你喜歡我嗎？
他以唇舌相纏作答。
當他摟住她傷痕累累的身體，嗜血的眼眸淌著萬般柔情：傻瓜，我愛了你十年。

作者"
刁妃有喜：冷魅狼王的罪寵,淩美,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/730,"全天下都在傳說，新一任的瀾雲谷谷主，是姜氏家族不世出的音律奇才。

咦？怎麼本尊跟傳說中的不太一樣？
誰能想到，這個看似冒牌的瀾雲姑，就是從另一個世界穿越而來的。
然而「狼王」陶白楊卻一直視她如珍寶，不惜為這個不太符合身份甚至有些刁蠻的王妃背負全族人的責怪。

為什麼就不能好好相愛？
總是要經歷戰火紛飛，總是要眼看人來人往。昔日好友反目成仇，卻還是能重歸於好，已是不易。
至於那些無謂真假的罪孽，還是抵不過他的寵愛。"
穿越之拯救女主行動,常百憶,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/679,"不要9998，不要998，不要98！極品花魁免費倒貼還包郵喲親！！！你真的要拒絕嗎？
萬年死宅蘇唯沒想到自己出一次門就遇上了墜機，醒來後發現竟然穿到了自己的小說女主身上。可是——這是個悲劇小說啊！
蘇唯現在真想穿回到正在電腦前寫文的自己面前，狠狠地抽她——叫你丫寫虐文！叫你丫虐女主！叫你丫BE結尾！
玩脫了吧，活該！"
只願君心似我心,森林野生小石榴子,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/675,"她得他一顆心臟，從墓中甦醒，助他步步登頂。
他卻終是娶了那個真正放在心尖上的人。
而她，卻被囚禁於黃金獸籠，日日剜心，去一碗心頭血。

縱然被千刀萬剮、火海地獄；
縱然被折磨取樂，嬰孩換命。
她愛他入骨，不怨亦不恨。

後來，他望著她沉屍的黑海，飲盡手中鉤吻酒：你不先去，怎知我相隨在後？
霜雪吹滿頭，也算是白首。"
九州密令之山河聘,寒山寺,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/672,"安雪的師父在將獨孤樓交給她時曾說，身在江湖，就要對得起江湖。
然而，當安雪走進皇城，走進墨王府，與凌墨煜一起並肩九州時，她也只餘得滿腹自問——
所謂的江湖，所謂的道義，到底是什麼？

直到這一次，她和那個男人共同走向紛亂複雜的江湖，
她彷彿真的有機會明白，這江湖的水有多深，路有多難，
而這一次，她發誓，她要九州安樂！

哪怕九州大陸風起雲湧，也必將陪他勇往直前！"
愛你如癮難言,笑莫纖然,愛情,完結,9,吾里文化,BG愛情,,,,,https://mojoin.com/novels/664,"三年前，一場賭約，她將自己賠給了言晟軒。
愛過，恨過也背叛過。
夏以南始終都知道自己要什麼，卻唯獨不要言晟軒交付的真心。
當兩人都遍體鱗傷時，她轉身離去。
他找遍了所有能找的地方，都未能尋到她的踪影。
三年後，她搖身一變，從婚禮上將他劫走。
這一次，她很清楚自己要的到底是什麼。
她扯著他的領帶，往前一拉，挑釁的勾起一抹弧度。
另一隻手快速摟住他的脖子，附到耳畔輕聲說道：「遊戲重新開始。」
尾音微微勾起，充滿了誘惑的味道。"
亂世王妃,寒錦,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/621,"安朝末年，朝野格局動盪不安，人心惶惶，民不聊生。
傳聞溫府有位庶子，才華橫溢。

卻因一次狩獵，被人暗傷，瞎了雙眼，從此再讀不了文書。
雲府雲沁，德才兼備，性情淑良。

卻因為家中姨娘陷害，毀了名聲，被丟棄在廢園中，鬱鬱而終。
現代社會中，與她同名的雲沁因一次失足掉入湖中，靈魂附在雲大小姐身上，才得以活下去。
兩人同是遭受陷害，是恨讓他們走到了一起，卻是愛，讓他們走下去。"
王妃耍心機,琳聽,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/548,"他大爺的！他可是欹猷王朝金金貴貴的蕭王爺！為什麼他要苦命悲催到娶這樣一個女人！！
大哥的王妃賢良淑德，二哥的王妃聰慧可人，三哥的王妃調皮可愛，而他的王妃——
三從四德，不會。
穿針引線，不懂。
相夫教子，沒學。
他大爺的！父王母后他不要啦！三嫂教過他，婚姻自由！戀愛自由的啊！他又不是收破爛的，憑什麼這個「大齡剩女」要婚配給他這個風流倜儻、英俊迷人的王爺呀！
那個女人……哦，不！那個上官若璃動不動就和自己作對，況且他還打不過這個女人，娶了她，他這輩子都要屈服在她的淫威之下，那他的下半輩子要……"
王爺，你就從了我吧,喵喵cat,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/444,"錢多多這輩子有無數的願望，第一是上了那個病弱王爺，第二就是不用聽老爹的嘮叨，第三就是成為寨主，第四就是……
司徒莫離這輩子有兩個願望，第一是治好自己的心疾，第二是奪嫡為王。
時來風這輩子只有一個願望，就是守護山寨。

有一種緣分叫做孽緣，錢多多不過就是和時來風賭氣，就招致了一個禍端，而這個禍端長得如斯好看，她賠上了心，還賠上了全寨幾百條人命。
她笑著，笑得風華絕代，紅纓槍迎風，血色漫漫，看著他胸口黑魆魆的洞口，她裂唇：「本大王無非就是看中了你的美貌，你不稀罕本大王，我就棄你如蔽履。」
時來風說，他的命屬於山寨，他的心屬於她錢多多，他將她護在懷中，替她抵擋"
正夫綱，王后在上,洛華,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/439,"孫青筠從懶散的閨閣千金到一國王后，再到亡國之後，為的不過是同一個男人，那個從狼嘴裡將她搶回來的男人。
兩軍交戰，深陷囹圄，她拿著匕首當著眾人，狠心了斷了他的性命。
她說：「我殺了你，我們便兩不相欠了！」
從此，她成了許多人口中的狠毒女人，可以連眼睛也不眨就奪了日日癡纏在一起的男人性命。
芙蓉帳暖，床榻已溫，待君歸來！
她說：「謝謝你沒讓我成了夜夜盼君歸的可憐寡婦。」
大婚之夜！
他滿含濃情，只道「我既送了你一朵永開不敗的百合，自是要和你百年好合！」"
冥婚邪愛寵上天,兔姑姑,愛情,完結,7,吾里文化,BG愛情,,,,,https://mojoin.com/novels/381,"大學生白謹言在參加校游泳隊集訓中，突然溺水，卻在恍惚中被人欺負了。
日夜在夢中糾纏的鬼魅男子禾折，出現在她的面前，稱她為「妻」。
自此，陰魂厲鬼纏身，白謹言陷入各種靈異事件之中，可是這一切僅僅是她走向深淵的開始。
禾折甜蜜言語編織的牢籠，讓從小沒有親情的白謹言深陷泥沼。
可是另一個她的出現撕碎了白謹言的夢，讓曾經的情話成為了笑話，讓曾經……"
若是情深，怎會緣淺,景井,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/351,"父親被抓，她成為人人都能踩上一腳的落魄千金，不惜賤賣自己，
而他為了報復她，巨資將她拍下。

他將她抵在牆上，咬牙開口，「林未晚，我當初體會的，我會一分不少，盡數奉還給你們！」

在她被眾人欺時，卻是他護在身邊，輕笑道：「我顧景的女人，我寵都來不及，什麼時候輪到你們來欺負了？。」

她被逼瘋，拿刀對著他時……卻轉手被他送進監獄
當愛已深入骨髓，恨則需要剔骨剜肉！"
誰念西風獨自涼,依念,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/300,"重生之前，她被朝夕相處的男人推下高樓。
重生之後，因果循環，她又被包裹在一個巨大的陰謀中。
等神秘色紗一層層揭開，陸逸琛才知道她一直是他心中的那個白月光。
此後，陸逸琛做的最多的三件事就是寵她，寵她，再寵她。
「我累了，想休息了。」陸念西可憐巴巴的躺在床上望著陸逸琛。"
禁寵,周小七,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/297,"三年前，我經歷了人生之中最為黑暗的日子，一夕之間，從天堂淪落地獄。
那時年少輕狂，不懂情之一字可以傷人如斯。
為此，我甚至付出光明的代價。

三年後，再次遇見那個魔鬼。
他摸著腹部的傷疤，看著我，目光如炬，語聲湛湛：「鬱菲，就算是下地獄，我身邊陪著的那個女人也一定是你！」 他說：「躲在黑暗中的老鼠，是不配生活在陽光下的。」

是啊，如果可以一直沉淪在黑暗中，也許並不會那麼痛苦。
最痛苦的是能夠看到希望。
我那麼恨你，可你怎麼會知道，只有愛時奮不顧身，恨時才蝕骨銷魂。"
億萬新娘：只想寵著你,其實一直不懂愛,愛情,完結,3,吾里文化,BG愛情,,,,,https://mojoin.com/novels/291,"他將她從別人的手裡救下，從此，將她纏上！
她見他，如見到鬼魅，唯恐避之不及。

某男雙手一撐，將她禁在雙臂之間，挑唇逼近：「本人有錢，有顏，跟我，有什麼不好？」
她笑：「北少非我族類，我有種族歧視！」
男人面不改色：「我口味比較重，不介意你不是人類！」
她忍無可忍：「滾！」
他笑得欠扁：「走，咱們一起滾！」
她終於怒了：「去死！」
他得寸近遲：「牡丹花但求一死！不如，你現在就送我一程！」"
狂妃傾城，主上別撩我,居隱,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/287,"新婚燕爾。
「還記得我嗎？」他邪肆的眼眸掃著她，一隻手禁錮著她纖細的脖頸，彷彿一個用力，她就會被扭斷。
喵了個咪，這是問問題的態度嗎？她要是說錯，會不會被剮了。
某女裝傻。
某男額頭冒出三道黑線，幾年未見，這丫頭越來越有意思了，也……越來越……"
