書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
夢迴羽憶然,蔚海,愛情,完結,15,飛燕文創,愛情,,,,,https://mojoin.com/novels/3361,"相愛是最困難的事情，
也許一對彼此坦承，世界就會崩塌……
不過無所謂，都已經死過一次了，再死一次，好像也沒什麼大不了的。
一出場就車禍死亡的邱商羽，化成了鬼來談戀愛──
「妳必須達成生前的心願，才能夠升天。」
──當聽到自己的曾祖母這麼對她說，她實在欲哭無淚，
生前天天混著過，哪來什麼遠大抱負要實現？
最重要的是，誰都看不見她，她還活著的祖宗三代加上她生前的好摯友，連她一個旋風響屁都聞不到味。無法與世界接觸的她，到底該怎麼完成願望？
一個轉角撞到愛，邱商羽撞著了一個人類，從此，就糾纏著他不放。
「你是我死後的第一個朋友！」一個霸氣的宣言，邱商羽直接判定了與邵宇然之間的關係。
她不能在這世界上留情，所以就算喜歡，也只能悶在心裡，不許對方知道。
真他媽的……邱商羽現在真寧可下地獄，消失在人間，也只想聽到一句「我也喜歡妳」"
請你對我唱,蔚海,愛情,完結,5,飛燕文創,愛情,,,,,https://mojoin.com/novels/3303,"有些人、有些事，會一輩子牢記在自己的心，就如我對他、就如他對我──

對他而言，我就像是一個大災難，只因為一個小小的理由，就展開了近十年的孽緣。

可是，誰說努力不懈就會有好結果？
對我來說，他一直都是差一步就能夠抵達的終點。
離得好近，卻又走不進他的世界。

雖然他什麼都比我好、頭腦也比我還要聰明，但就唯獨面對喜歡和愛，總是避而不談、總是希望能逃避到天涯海角、裝傻裝得比我還要傻。"
我和她的愛情進行式,青鷹,愛情,完結,0,飛燕文創,愛情,,,,,https://mojoin.com/novels/3215,"我的高中生活本來應該是慘白的，
每天除了充當死讀書的行屍走肉外，
毫無任何樂趣可言。

然而，同班的方卉玉卻突然開口說：
「哎！我要追你。」
而且還付諸行動！

這究竟是愚人節玩笑，
又或是甜蜜而痛苦的開始呢？"
在。途,薇薇公主病,愛情,完結,0,獨家原創,愛情,,,,,https://mojoin.com/novels/3212,"在這個人類與人偶已經密不可分的時代，許多人開始思索究竟人偶的存在是什麼樣的定位。

然而在人類追尋答案的過程中，他們忽略了，人偶也在追尋同樣的答案......"
法蘭城的變革,狗妹,愛情,完結,0,獨家原創,愛情,,,,,https://mojoin.com/novels/3205,"改編自線上遊戲《魔力寶貝》，原本和平的法蘭城忽然遭受惡魔的襲擊，

勇者們的全新冒險即刻展開！"
我想再見你一次,優析,愛情,完結,140,獨家原創,愛情,,,,,https://mojoin.com/novels/3207,"她因為一場夢境，穿梭到另一個世界，
吵雜的聲響，四處追趕的腳步聲，
在睡意還沒有散去時，眼前突然出現一個模糊身影，
將她從夢中喚醒得同時一股力量將她拉起身，
而他們的相遇就在這一刻開始......

是什麼原因將她捲入他的世界？

她又如何回到原來世界？"
戀上陰間鬼丈夫,流光,愛情,完結,47,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3159,"自從我戴了那個戒指以後，就開始做同一個夢，
夢中我和一個男人發生了羞人的事情，我不好意思跟父親訴說。

但父親的舉動變得很奇怪……"
攝政王的掌中嬌,清粥醬菜,愛情,完結,100,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3158,"【重生+女強+寵妻+甜寵+皇叔+王妃+古代言情+嫡女】

前世鳳曦瑤眼瞎，以致最終連累滿門，自己也落得個剝皮抽筋的下場。
當她含恨而死後，誰知再次睜眼她居然重回到三年前，一切都尚未發生之際。
鳳曦瑤步步警惕，小心提防。
毒辣庶妹想要攀附皇家，那她便主動成全，撕破白蓮花妹妹的偽裝，要她此生受盡折磨！
渣男一心想要拉攏利用自己和父王的權勢稱帝，那她便一步步斷了渣男的登基之路，要他求生不得求死不能！
然而，正當鳳曦瑤一步步精心算計，恐生變故之際，為何一貫深居簡出，清冷不問世事只存在於傳言中的皇叔沈驚瀾卻頻頻出現在她身邊？

鳳曦瑤看著眼前猶如謫仙般清冷寡淡的沈驚瀾，猶豫開口：「皇叔，既然這麼多年您心中也無心悅之人，而皇祖母也為您的終身大事所憂心。我鳳曦瑤也同樣，且鎮南王府也不願成為他人的倚仗被其利用。不如，你我假意成婚，待一切塵埃落定後，你我橋歸橋路歸路，可好？」

沈驚瀾冷哼一聲，未置可否，神情冷淡疏離。

誰知，婚後，一貫清冷俊雋攝政王搖身一變成了妻奴，滿心滿眼的都是鳳曦瑤。"
贈他情深不相思,斬桃,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3157,"葉初離開六年後攜女歸來，鐘遲看著那眉眼酷似自己，卻喊著自己叔叔的小女孩，心裡的執念和憤怒叫囂著要把葉初拉進地獄，狠狠折磨，讓她餘生都用來還債。
然後，鐘遲的確佔有了葉初的餘生，只不過，是寵了她整個餘生。
-說來可笑，我驕傲了二十年，卻為你折了腰。

恨了六年，卻為你一敗塗地。
我想，時隔經年，我依舊思念你的話，大約地獄也是天堂。

——鐘遲無以為報，願意一腔情深相贈，聊表心意。

——葉初"
爆寵甜妻：影后太囂張,孟知,愛情,完結,20,吾里文化,BG愛情,,,,,https://mojoin.com/novels/3156?sw=1,"前世，她是萬眾矚目的影后，卻懷著屈辱與不堪，在最好朋友的背叛與陷害中死去。
意外重生在胖妞江夏身上，有人看不起她，嘲笑她，而她決定重歸娛樂圈，將那些曾經欺辱過她的人統統踩在腳底下。
她打臉正打得開心，卻意外相識某總裁，一路艱險，他唯願護她周全。

「等了你這麼久，江小姐，願意和我共度餘生嗎？」

大仇得報，她感到一陣快意，卻忽然被攬入懷中。"
